,productID,brandID,attribute1,attribute2,attribute3,attribute4,clickVolume,avgOriginalUnitPrice,avgFinalUnitPrice,ma14SalesVolume,weekday,meanAge,gender,meanEducation,maritalStatus,plus,meanPurchasePower,meanUserLevel,meanCityLevel,sales
0,63,24,3.0,60.0,3,6.4424753782259145,319.0,108.0,86.14285714285714,3.5,6,28.0,0.4,3.0,0.8,0.0,2.2,2.6666666666666665,2.25,7
1,25,23,3.0,60.0,1,9.235513122035995,343.0,79.0,48.98571428571428,21.142857142857142,7,32.44444444444444,0.2222222222222222,3.3333333333333335,0.5555555555555556,0.18181818181818182,2.3333333333333335,3.0,1.7777777777777777,14
2,84,26,3.0,60.0,2,5.714286735400304,977.0,79.89999999999999,40.448333333333345,36.214285714285715,6,32.95454545454545,0.4318181818181818,3.441860465116279,0.7272727272727273,0.5555555555555556,2.1818181818181817,3.1333333333333333,2.0,60
3,0,5,3.0,90.0,4,25.848665067888113,242.0,129.0,129.0,8.928571428571429,6,40.0,0.5,3.5,1.0,0.5,2.5,3.0,1.0,2
4,40,14,3.0,80.0,4,16.480456740146902,681.0,79.0,68.53333333333333,18.214285714285715,5,33.333333333333336,0.08333333333333333,2.9,0.8,0.0,2.5,2.142857142857143,2.9,15
5,44,26,3.0,80.0,1,7.0041288163857525,864.0,79.9,62.94583333333333,12.071428571428571,4,33.68421052631579,0.2631578947368421,3.473684210526316,0.8947368421052632,0.2916666666666667,2.263157894736842,3.0416666666666665,2.0,24
6,92,18,2.0,40.0,1,5.590365942889757,395.0,19.899999999999995,18.185714285714283,29.571428571428573,4,29.0,0.4,2.9444444444444446,0.4,0.2,2.45,2.25,2.1052631578947367,21
7,28,5,3.0,100.0,1,4.0725701371795315,419.0,59.0,54.166666666666664,24.0,5,33.333333333333336,0.2,3.1538461538461537,0.7857142857142857,0.1875,2.4285714285714284,2.8125,1.8666666666666667,18
8,0,5,3.0,90.0,7,4.385265193694569,403.0,129.0,127.57142857142857,8.571428571428571,1,31.428571428571427,0.5714285714285714,3.0,0.2857142857142857,0.14285714285714285,2.2857142857142856,3.0,2.0,7
9,81,2,3.0,60.0,5,5.827810860053571,123.0,58.22,51.34,5.785714285714286,3,40.0,1.0,4.0,1.0,0.0,2.0,7.0,1.0,2
10,3,10,3.0,100.0,1,20.37046699990202,649.0,170.0,86.5,1.4285714285714286,3,40.0,0.0,3.0,1.0,0.0,2.5,2.5,1.5,2
11,27,35,4.0,100.0,4,10.384348728846074,150.0,162.9,102.0,2.4285714285714284,5,26.666666666666668,0.3333333333333333,3.0,0.3333333333333333,0.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,3
12,64,26,3.0,80.0,4,2.8500762366310073,311.0,69.9,59.900000000000006,23.428571428571427,7,26.666666666666668,0.3333333333333333,2.6666666666666665,0.6666666666666666,0.0,3.3333333333333335,1.5,1.6666666666666667,4
13,44,26,3.0,80.0,3,2.10932923610795,812.0,79.90000000000002,69.36153846153849,18.428571428571427,4,34.1,0.2,3.263157894736842,0.7894736842105263,0.36363636363636365,2.1578947368421053,3.1818181818181817,2.2222222222222223,26
14,83,25,3.0,100.0,4,2.8607029408414246,232.0,240.0,192.0,2.5,7,40.0,0.0,3.0,1.0,0.0,2.5,3.0,2.5,2
15,10,11,3.0,100.0,1,22.623023035380488,558.0,167.0,128.0,16.5,5,36.666666666666664,0.1111111111111111,3.0,0.6666666666666666,0.0,2.625,2.3,1.75,10
16,73,8,3.0,60.0,7,14.881046382505806,332.0,290.0,290.0,6.214285714285714,4,30.0,0.5,3.0,0.5,0.0,2.5,6.0,1.0,3
17,9,16,3.0,70.0,2,8.700431447890553,267.0,69.0,67.16666666666667,4.642857142857143,3,35.45454545454545,0.2727272727272727,2.909090909090909,0.7272727272727273,0.18181818181818182,2.272727272727273,2.727272727272727,1.9090909090909092,12
18,8,34,4.0,50.0,1,2.9480639029876325,1288.0,250.0,238.2,9.428571428571429,7,27.5,0.5,3.0,0.5,0.6,2.0,2.8,1.5,5
19,71,25,3.0,60.0,8,7.285487834238583,4183.0,180.0,100.71089743589742,6.0,4,33.85840707964602,0.2831858407079646,3.5398230088495577,0.8761061946902655,0.7008547008547008,2.0973451327433628,3.547008547008547,1.6756756756756757,156
20,46,12,3.0,60.0,1,4.313793068593365,492.0,139.0,62.583333333333336,14.5,7,29.0,0.1,3.3333333333333335,0.6,0.5,2.4,2.5,2.3,12
21,8,34,4.0,50.0,7,13.733683569466484,1388.0,250.0,179.95652173913044,13.357142857142858,3,30.555555555555557,0.1111111111111111,3.111111111111111,0.3888888888888889,0.3888888888888889,2.2777777777777777,2.888888888888889,1.8333333333333333,23
22,99,30,3.0,70.0,7,5.155425646186638,331.0,68.0,55.839999999999996,10.642857142857142,6,40.666666666666664,0.3333333333333333,3.0,1.0,0.0,2.0,2.25,2.0,5
23,15,2,3.0,50.0,18,36.38170455381233,454.0,65.0,46.26461538461538,26.0,6,26.0,0.2,2.875,0.3,0.18181818181818182,2.8,2.090909090909091,1.4444444444444444,13
24,15,2,3.0,50.0,12,8.76820463717453,537.0,65.0,49.9375,32.642857142857146,3,31.25,0.375,3.0,0.7142857142857143,0.2222222222222222,2.1666666666666665,2.4444444444444446,1.875,16
25,65,26,3.0,80.0,5,2.14021310956404,789.0,139.90000000000003,102.13333333333334,11.5,4,26.11111111111111,0.3333333333333333,2.611111111111111,0.2222222222222222,0.047619047619047616,2.0555555555555554,2.238095238095238,2.6470588235294117,21
26,36,11,2.0,40.0,3,0.8696615904171524,345.0,60.0,57.5,9.928571428571429,2,30.0,0.0,2.6666666666666665,0.7142857142857143,0.125,2.4285714285714284,2.25,2.2857142857142856,8
